fid,departure_c,departure,destination_c,destination,take_off_time,landing_time,duration,total_seats,available_seats,sell_status,price
3U8886,BJS,Beijing,CTU,Chengdu,1667281200,1667293800,210,412,9,SELLING,1151
3U8894,BJS,Beijing,CTU,Chengdu,1667306400,1667318100,195,315,7,SELLING,712
3U6874,BJS,Beijing,CTU,Chengdu,1667258100,1667269500,190,180,9,SELLING,674
3U8884,BJS,Beijing,CTU,Chengdu,1667274000,1667286300,205,315,9,SELLING,1151
KN5237,BJS,Beijing,CTU,Chengdu,1667300100,1667310900,180,140,9,SELLING,624
KN5215,BJS,Beijing,CTU,Chengdu,1667263500,1667274300,180,180,9,SELLING,624
KN5207,BJS,Beijing,CTU,Chengdu,1667280300,1667292300,200,140,9,SELLING,624
GJ5400,BJS,Beijing,HGH,Hangzhou,1667260200,1667268000,130,189,9,SELLING,1379
GJ8688,BJS,Beijing,HGH,Hangzhou,1667260500,1667268900,140,220,9,SELLING,620
GJ5416,BJS,Beijing,HGH,Hangzhou,1667309700,1667317200,125,189,9,SELLING,1379
HU7277,BJS,Beijing,HGH,Hangzhou,1667261700,1667269800,135,189,9,SELLING,664
HU7677,BJS,Beijing,HGH,Hangzhou,1667295000,1667303700,145,189,9,SELLING,512
HU7477,BJS,Beijing,HGH,Hangzhou,1667276100,1667284500,140,189,9,SELLING,674
MF5709,BJS,Beijing,HGH,Hangzhou,1667260500,1667268900,140,220,9,SELLING,1769
MF8150,BJS,Beijing,HGH,Hangzhou,1667309700,1667317200,125,189,6,SELLING,523
MF8130,BJS,Beijing,HGH,Hangzhou,1667260200,1667268000,130,189,6,SELLING,523
CZ4116,BJS,Beijing,HGH,Hangzhou,1667309700,1667317200,125,189,9,SELLING,1715
CZ8851,BJS,Beijing,HGH,Hangzhou,1667289600,1667297100,125,220,9,SELLING,1314
CZ8857,BJS,Beijing,HGH,Hangzhou,1667275800,1667283600,130,180,9,SELLING,1314
CZ4862,BJS,Beijing,HGH,Hangzhou,1667260500,1667268900,140,220,9,SELLING,1954
MU9649,BJS,Beijing,HGH,Hangzhou,1667295000,1667303400,140,189,9,SELLING,677
MU5132,BJS,Beijing,HGH,Hangzhou,1667271300,1667279400,135,244,8,SELLING,677
MU5147,BJS,Beijing,HGH,Hangzhou,1667277600,1667285100,125,420,9,SELLING,677
MU9687,BJS,Beijing,HGH,Hangzhou,1667266500,1667275200,145,189,9,SELLING,677
MU5458,BJS,Beijing,HGH,Hangzhou,1667298600,1667306100,125,262,9,SELLING,677
MU8897,BJS,Beijing,HGH,Hangzhou,1667261700,1667268900,120,180,9,SELLING,1238
MU5193,BJS,Beijing,HGH,Hangzhou,1667259000,1667266200,120,220,9,SELLING,622
CA1706,BJS,Beijing,HGH,Hangzhou,1667262600,1667270400,130,189,9,SELLING,3352
CA1728,BJS,Beijing,HGH,Hangzhou,1667302200,1667310900,145,240,9,SELLING,1158
CA1726,BJS,Beijing,HGH,Hangzhou,1667298600,1667307600,150,134,9,SELLING,1545
CA1704,BJS,Beijing,HGH,Hangzhou,1667259000,1667266800,130,240,9,SELLING,3352
CA1714,BJS,Beijing,HGH,Hangzhou,1667277000,1667285100,135,220,9,SELLING,1545
CA1724,BJS,Beijing,HGH,Hangzhou,1667295000,1667304300,155,220,9,SELLING,1158
CA1712,BJS,Beijing,HGH,Hangzhou,1667273400,1667282100,145,240,9,SELLING,1545
CA1722,BJS,Beijing,HGH,Hangzhou,1667291400,1667300400,150,240,9,SELLING,1158
CA1732,BJS,Beijing,HGH,Hangzhou,1667309400,1667317800,140,180,9,SELLING,735
CA1708,BJS,Beijing,HGH,Hangzhou,1667266200,1667274600,140,220,9,SELLING,3352
CA1718,BJS,Beijing,HGH,Hangzhou,1667284200,1667293500,155,240,9,SELLING,1545
CA1720,BJS,Beijing,HGH,Hangzhou,1667287800,1667296200,140,240,9,SELLING,1545
CA1730,BJS,Beijing,HGH,Hangzhou,1667305800,1667315100,155,220,9,SELLING,941
KN2331,BJS,Beijing,HGH,Hangzhou,1667261700,1667268900,120,180,8,SELLING,429
KY8270,BJS,Beijing,KMG,Kunming,1667279700,1667293500,230,189,9,SELLING,737
HU7211,BJS,Beijing,KMG,Kunming,1667260200,1667275500,255,189,8,SELLING,605
KN5257,BJS,Beijing,KMG,Kunming,1667283900,1667301300,290,180,9,SELLING,733
3U8837,BJS,Beijing,KMG,Kunming,1667261700,1667282400,345,180,9,SELLING,1195
3U8242,BJS,Beijing,KMG,Kunming,1667259300,1667273400,235,180,9,SELLING,658
CA1475,BJS,Beijing,KMG,Kunming,1667261700,1667275500,230,180,9,SELLING,777
CA1445,BJS,Beijing,KMG,Kunming,1667268000,1667282700,245,189,9,SELLING,777
CA1403,BJS,Beijing,KMG,Kunming,1667255400,1667269200,230,140,9,SELLING,734
CA4172,BJS,Beijing,KMG,Kunming,1667272500,1667286300,230,180,9,SELLING,777
CZ6111,BJS,Beijing,KMG,Kunming,1667269800,1667283600,230,180,9,SELLING,1618
CZ8841,BJS,Beijing,KMG,Kunming,1667277000,1667291400,240,220,9,SELLING,1618
CZ3901,BJS,Beijing,KMG,Kunming,1667262600,1667276700,235,189,9,SELLING,1618
CZ9611,BJS,Beijing,KMG,Kunming,1667261700,1667282400,345,180,9,SELLING,2138
CZ9458,BJS,Beijing,KMG,Kunming,1667259300,1667273400,235,180,9,SELLING,2138
MU5708,BJS,Beijing,KMG,Kunming,1667300400,1667315700,255,149,9,SELLING,677
MU5718,BJS,Beijing,KMG,Kunming,1667302200,1667316600,240,189,9,SELLING,677
MU5706,BJS,Beijing,KMG,Kunming,1667291400,1667306400,250,100,9,SELLING,698
MU5704,BJS,Beijing,KMG,Kunming,1667302800,1667318100,255,189,9,SELLING,677
MU5702,BJS,Beijing,KMG,Kunming,1667277300,1667291700,240,100,9,SELLING,1054
MU5710,BJS,Beijing,KMG,Kunming,1667307600,1667323200,260,140,9,SELLING,677
MU5720,BJS,Beijing,KMG,Kunming,1667258100,1667272500,240,140,9,SELLING,677
8L9988,BJS,Beijing,KMG,Kunming,1667309400,1667323800,240,119,299,SELLING,587
JD5629,BJS,Beijing,KMG,Kunming,1667268000,1667283600,260,180,6,SELLING,866
CA1561,BJS,Beijing,NKG,Nanjing,1667283600,1667290500,115,189,9,SELLING,778
CA1503,BJS,Beijing,NKG,Nanjing,1667295000,1667301900,115,189,9,SELLING,778
CA1847,BJS,Beijing,NKG,Nanjing,1667270400,1667277900,125,189,9,SELLING,778
CA1817,BJS,Beijing,NKG,Nanjing,1667262600,1667269500,115,220,9,SELLING,778
MU2812,BJS,Beijing,NKG,Nanjing,1667273400,1667280600,120,189,1,SELLING,512
MU2852,BJS,Beijing,NKG,Nanjing,1667311800,1667319300,125,189,9,SELLING,512
MU2832,BJS,Beijing,NKG,Nanjing,1667300400,1667307300,115,180,9,SELLING,512
ZH5030,BJS,Beijing,SHA,Shanghai,1667273100,1667281800,145,240,9,SELLING,1075
CA1509,BJS,Beijing,SHA,Shanghai,1667295000,1667304000,150,400,9,SELLING,735
CA1835,BJS,Beijing,SHA,Shanghai,1667260800,1667268900,135,220,9,SELLING,734
CA1501,BJS,Beijing,SHA,Shanghai,1667262600,1667271300,145,400,9,SELLING,735
CA1523,BJS,Beijing,SHA,Shanghai,1667268900,1667277000,135,400,9,SELLING,735
CA1557,BJS,Beijing,SHA,Shanghai,1667273400,1667282100,145,315,9,SELLING,735
CA1547,BJS,Beijing,SHA,Shanghai,1667268000,1667276100,135,440,9,SELLING,735
CA1515,BJS,Beijing,SHA,Shanghai,1667287800,1667296500,145,412,9,SELLING,735
CA1549,BJS,Beijing,SHA,Shanghai,1667291400,1667300100,145,340,9,SELLING,735
CA1517,BJS,Beijing,SHA,Shanghai,1667280600,1667289300,145,400,9,SELLING,735
CA1507,BJS,Beijing,SHA,Shanghai,1667259000,1667267700,145,400,9,SELLING,735
CA1519,BJS,Beijing,SHA,Shanghai,1667266200,1667274900,145,400,9,SELLING,735
CA1521,BJS,Beijing,SHA,Shanghai,1667284200,1667292900,145,420,9,SELLING,735
CA1565,BJS,Beijing,SHA,Shanghai,1667298600,1667307300,145,412,9,SELLING,735
CA1883,BJS,Beijing,SHA,Shanghai,1667304000,1667312100,135,220,9,SELLING,734
HO1252,BJS,Beijing,SHA,Shanghai,1667273100,1667281800,145,240,9,SELLING,402
HO5314,BJS,Beijing,SHA,Shanghai,1667264400,1667271900,125,180,9,SELLING,810
MF8557,BJS,Beijing,SHA,Shanghai,1667262600,1667271000,140,189,6,SELLING,718
MF8555,BJS,Beijing,SHA,Shanghai,1667293200,1667301900,145,189,6,SELLING,718
MF3037,BJS,Beijing,SHA,Shanghai,1667260800,1667268900,135,220,9,SELLING,1141
MF3004,BJS,Beijing,SHA,Shanghai,1667304000,1667312100,135,242,9,SELLING,1141
MF3048,BJS,Beijing,SHA,Shanghai,1667307600,1667315400,130,244,9,SELLING,1141
MF3036,BJS,Beijing,SHA,Shanghai,1667293200,1667301300,135,242,9,SELLING,1141
MF3025,BJS,Beijing,SHA,Shanghai,1667286000,1667294100,135,242,9,SELLING,1141
MF3023,BJS,Beijing,SHA,Shanghai,1667257200,1667265300,135,242,9,SELLING,1141
MF3034,BJS,Beijing,SHA,Shanghai,1667264400,1667272800,140,242,9,SELLING,1141
MF3012,BJS,Beijing,SHA,Shanghai,1667275200,1667283300,135,244,9,SELLING,1141
MF3022,BJS,Beijing,SHA,Shanghai,1667300400,1667308200,130,175,9,SELLING,1141
MF3043,BJS,Beijing,SHA,Shanghai,1667295000,1667303100,135,189,9,SELLING,1141
MF3010,BJS,Beijing,SHA,Shanghai,1667278800,1667286900,135,315,9,SELLING,1141
MF3020,BJS,Beijing,SHA,Shanghai,1667271600,1667279700,135,420,9,SELLING,1141
MF3039,BJS,Beijing,SHA,Shanghai,1667289600,1667297700,135,220,9,SELLING,1141
MF3006,BJS,Beijing,SHA,Shanghai,1667282400,1667290500,135,262,9,SELLING,1141
MF3027,BJS,Beijing,SHA,Shanghai,1667268000,1667276400,140,242,9,SELLING,1141
KN5955,BJS,Beijing,SHA,Shanghai,1667288100,1667295000,115,180,9,SELLING,425
KN5737,BJS,Beijing,SHA,Shanghai,1667258100,1667265600,125,180,8,SELLING,396
CZ8887,BJS,Beijing,SHA,Shanghai,1667278800,1667285700,115,180,9,SELLING,945
CZ4471,BJS,Beijing,SHA,Shanghai,1667293200,1667301900,145,189,9,SELLING,1336
CZ8879,BJS,Beijing,SHA,Shanghai,1667264400,1667271900,125,180,9,SELLING,945
CZ4473,BJS,Beijing,SHA,Shanghai,1667262600,1667271000,140,189,9,SELLING,1336
MU8795,BJS,Beijing,SHA,Shanghai,1667258100,1667265600,125,180,9,SELLING,978
MU5160,BJS,Beijing,SHA,Shanghai,1667295000,1667303100,135,189,9,SELLING,739
MU5130,BJS,Beijing,SHA,Shanghai,1667305800,1667313300,125,420,9,SELLING,548
MU5196,BJS,Beijing,SHA,Shanghai,1667278500,1667287500,150,244,9,SELLING,548
MU5120,BJS,Beijing,SHA,Shanghai,1667293200,1667301300,135,242,9,SELLING,739
MU8859,BJS,Beijing,SHA,Shanghai,1667288100,1667295000,115,180,9,SELLING,978
MU5112,BJS,Beijing,SHA,Shanghai,1667278800,1667286900,135,315,9,SELLING,739
MU5102,BJS,Beijing,SHA,Shanghai,1667260800,1667268900,135,220,9,SELLING,739
MU5124,BJS,Beijing,SHA,Shanghai,1667300400,1667308200,130,175,9,SELLING,739
MU5110,BJS,Beijing,SHA,Shanghai,1667275200,1667283300,135,244,9,SELLING,739
MU5100,BJS,Beijing,SHA,Shanghai,1667257200,1667265300,135,242,9,SELLING,738
MU5116,BJS,Beijing,SHA,Shanghai,1667286000,1667294100,135,242,9,SELLING,739
MU5106,BJS,Beijing,SHA,Shanghai,1667268000,1667276400,140,242,9,SELLING,739
MU5128,BJS,Beijing,SHA,Shanghai,1667307600,1667315400,130,244,9,SELLING,739
MU5114,BJS,Beijing,SHA,Shanghai,1667282400,1667290500,135,262,9,SELLING,739
MU5104,BJS,Beijing,SHA,Shanghai,1667264400,1667272800,140,242,9,SELLING,739
MU5126,BJS,Beijing,SHA,Shanghai,1667304000,1667312100,135,242,9,SELLING,739
MU5118,BJS,Beijing,SHA,Shanghai,1667289600,1667297700,135,220,9,SELLING,739
MU5108,BJS,Beijing,SHA,Shanghai,1667271600,1667279700,135,420,9,SELLING,739
GJ5773,BJS,Beijing,SHA,Shanghai,1667262600,1667271000,140,189,9,SELLING,1075
GJ5771,BJS,Beijing,SHA,Shanghai,1667293200,1667301900,145,189,9,SELLING,1075
HU7601,BJS,Beijing,SHA,Shanghai,1667295000,1667302800,130,189,9,SELLING,609
HU7609,BJS,Beijing,SHA,Shanghai,1667287800,1667296800,150,189,9,SELLING,609
HU7607,BJS,Beijing,SHA,Shanghai,1667261700,1667269200,125,189,9,SELLING,609
HO5318,BJS,Beijing,SHA,Shanghai,1667278800,1667285700,115,180,9,SELLING,810
SC4652,BJS,Beijing,TAO,Qingdao,1667268300,1667273700,90,189,9,SELLING,1000
SC4658,BJS,Beijing,TAO,Qingdao,1667312400,1667318700,105,189,9,SELLING,750
CA1571,BJS,Beijing,TAO,Qingdao,1667297400,1667302800,90,240,9,SELLING,1111
CA1569,BJS,Beijing,TAO,Qingdao,1667262600,1667268000,90,240,9,SELLING,1006
CA4734,BJS,Beijing,TAO,Qingdao,1667268300,1667273700,90,189,9,SELLING,1260
CA4736,BJS,Beijing,TAO,Qingdao,1667312400,1667318700,105,189,9,SELLING,1260
CA1575,BJS,Beijing,TAO,Qingdao,1667268900,1667274300,90,240,9,SELLING,1006
CA8202,BJS,Beijing,WUH,Wuhan,1667262600,1667271900,155,240,9,SELLING,533
CA8210,BJS,Beijing,WUH,Wuhan,1667289600,1667297700,135,240,9,SELLING,533
CA8204,BJS,Beijing,WUH,Wuhan,1667271600,1667279400,130,240,9,SELLING,533
MU2500,BJS,Beijing,WUH,Wuhan,1667265000,1667273100,135,149,9,SELLING,513
MU2456,BJS,Beijing,WUH,Wuhan,1667307900,1667315700,130,149,9,SELLING,469
MU2452,BJS,Beijing,WUH,Wuhan,1667274900,1667283000,135,149,9,SELLING,513
CZ8864,BJS,Beijing,WUH,Wuhan,1667296800,1667304600,130,189,9,SELLING,1357
CZ3140,BJS,Beijing,WUH,Wuhan,1667301600,1667309400,130,189,9,SELLING,1357
CZ3138,BJS,Beijing,WUH,Wuhan,1667286600,1667295000,140,189,9,SELLING,1357
CZ3118,BJS,Beijing,WUH,Wuhan,1667272800,1667280600,130,164,9,SELLING,1357
CZ4098,BJS,Beijing,XMN,Amoy,1667279100,1667289300,170,189,9,SELLING,2474
CZ4074,BJS,Beijing,XMN,Amoy,1667260500,1667271300,180,189,9,SELLING,2777
CZ4072,BJS,Beijing,XMN,Amoy,1667292600,1667304300,195,250,9,SELLING,2290
CZ4132,BJS,Beijing,XMN,Amoy,1667308200,1667319600,190,189,9,SELLING,2290
MF8170,BJS,Beijing,XMN,Amoy,1667308200,1667319600,190,189,9,SELLING,2257
MF8102,BJS,Beijing,XMN,Amoy,1667292600,1667304300,195,250,9,SELLING,2257
MF8104,BJS,Beijing,XMN,Amoy,1667260500,1667271300,180,189,9,SELLING,2777
MF8106,BJS,Beijing,XMN,Amoy,1667300700,1667312700,200,189,9,SELLING,2257
MF8128,BJS,Beijing,XMN,Amoy,1667279100,1667289300,170,189,9,SELLING,2322
MF8118,BJS,Beijing,XMN,Amoy,1667271900,1667283000,185,189,9,SELLING,2777
GJ5398,BJS,Beijing,XMN,Amoy,1667279100,1667289300,170,189,9,SELLING,2474
GJ5388,BJS,Beijing,XMN,Amoy,1667271900,1667283000,185,189,9,SELLING,2777
GJ5372,BJS,Beijing,XMN,Amoy,1667292600,1667304300,195,250,9,SELLING,2322
GJ5432,BJS,Beijing,XMN,Amoy,1667308200,1667319600,190,189,9,SELLING,2322
GJ5374,BJS,Beijing,XMN,Amoy,1667260500,1667271300,180,189,9,SELLING,2777
MU5170,BJS,Beijing,XMN,Amoy,1667291700,1667310300,310,180,9,SELLING,2095
MU8074,BJS,Beijing,XMN,Amoy,1667260500,1667271300,180,189,9,SELLING,2777
MU8088,BJS,Beijing,XMN,Amoy,1667271900,1667283000,185,189,9,SELLING,2777
SC2124,BJS,Beijing,XMN,Amoy,1667305800,1667316900,185,189,9,SELLING,2420
SC2130,BJS,Beijing,XMN,Amoy,1667262600,1667273700,185,189,9,SELLING,2723
SC2128,BJS,Beijing,XMN,Amoy,1667309400,1667320500,185,189,9,SELLING,2420
SC2126,BJS,Beijing,XMN,Amoy,1667259000,1667270100,185,189,9,SELLING,2723
NS8118,BJS,Beijing,XMN,Amoy,1667271900,1667283000,185,189,9,SELLING,2777
NS8104,BJS,Beijing,XMN,Amoy,1667260500,1667271300,180,189,9,SELLING,2777
CA1815,BJS,Beijing,XMN,Amoy,1667290800,1667301900,185,195,9,SELLING,2343
CA4644,BJS,Beijing,XMN,Amoy,1667309400,1667320500,185,189,9,SELLING,2441
CA4646,BJS,Beijing,XMN,Amoy,1667262600,1667273700,185,189,9,SELLING,2745
CA4640,BJS,Beijing,XMN,Amoy,1667305800,1667316900,185,189,9,SELLING,2441
CA1833,BJS,Beijing,XMN,Amoy,1667273400,1667284200,180,240,9,SELLING,2962
CA4642,BJS,Beijing,XMN,Amoy,1667259000,1667270100,185,189,9,SELLING,2745
CA1871,BJS,Beijing,XMN,Amoy,1667284200,1667294700,175,195,9,SELLING,2343
CA1809,BJS,Beijing,XMN,Amoy,1667265600,1667276100,175,189,9,SELLING,2962
CZ2608,CKG,Chongqing,BJS,Beijing,1667307300,1667318100,180,180,9,SELLING,1195
CZ8818,CKG,Chongqing,BJS,Beijing,1667295000,1667305500,175,189,9,SELLING,1195
CZ2801,CKG,Chongqing,BJS,Beijing,1667259900,1667270100,170,180,9,SELLING,1195
CZ9607,CKG,Chongqing,BJS,Beijing,1667304300,1667313600,155,180,9,SELLING,2008
CZ8918,CKG,Chongqing,BJS,Beijing,1667302200,1667311200,150,220,9,SELLING,1195
CZ9603,CKG,Chongqing,BJS,Beijing,1667255400,1667264400,150,167,9,SELLING,2008
CZ9837,CKG,Chongqing,BJS,Beijing,1667263500,1667279100,260,189,9,SELLING,2767
CZ9605,CKG,Chongqing,BJS,Beijing,1667278800,1667288100,155,180,9,SELLING,2008
CZ4404,CKG,Chongqing,BJS,Beijing,1667292900,1667303700,180,189,9,SELLING,2333
CZ9602,CKG,Chongqing,BJS,Beijing,1667302800,1667321700,315,134,9,SELLING,2008
HU7268,CKG,Chongqing,BJS,Beijing,1667298000,1667307300,155,189,1,SELLING,468
NS8036,CKG,Chongqing,BJS,Beijing,1667307900,1667318100,170,189,9,SELLING,620
NS8068,CKG,Chongqing,BJS,Beijing,1667263500,1667279100,260,189,9,SELLING,620
3U8829,CKG,Chongqing,BJS,Beijing,1667255400,1667264400,150,167,9,SELLING,512
3U8833,CKG,Chongqing,BJS,Beijing,1667304300,1667313600,155,180,9,SELLING,447
3U8831,CKG,Chongqing,BJS,Beijing,1667278800,1667288100,155,180,9,SELLING,566
3U8820,CKG,Chongqing,BJS,Beijing,1667302800,1667321700,315,134,9,SELLING,447
GJ5704,CKG,Chongqing,BJS,Beijing,1667292900,1667303700,180,189,9,SELLING,1260
CA1440,CKG,Chongqing,BJS,Beijing,1667298600,1667307900,155,189,9,SELLING,523
CA4137,CKG,Chongqing,BJS,Beijing,1667264400,1667273700,155,189,9,SELLING,523
CA1430,CKG,Chongqing,BJS,Beijing,1667280600,1667289900,155,189,9,SELLING,577
CA4147,CKG,Chongqing,BJS,Beijing,1667295000,1667304300,155,159,9,SELLING,523
CA1432,CKG,Chongqing,BJS,Beijing,1667277000,1667286300,155,189,9,SELLING,631
CA4141,CKG,Chongqing,BJS,Beijing,1667282400,1667291700,155,159,9,SELLING,631
CA1438,CKG,Chongqing,BJS,Beijing,1667291400,1667300400,150,189,9,SELLING,631
MU6684,CKG,Chongqing,BJS,Beijing,1667283900,1667295000,185,244,10,SELLING,511
MU6686,CKG,Chongqing,BJS,Beijing,1667303700,1667314800,185,220,10,SELLING,435
MU6688,CKG,Chongqing,BJS,Beijing,1667307600,1667318100,175,180,10,SELLING,435
MU6690,CKG,Chongqing,BJS,Beijing,1667310600,1667321700,185,262,10,SELLING,435
MU6682,CKG,Chongqing,BJS,Beijing,1667272800,1667282100,155,220,10,SELLING,607
